成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注,
2019-02-26,09:40:30,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0669,30,20056.00,非备兑,115216,卖出开仓,
2019-02-26,09:42:04,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0700,30,20994.00,非备兑,132720,卖出开仓,
2019-02-26,09:50:16,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0073,30,2190.00,非备兑,216754,卖出开仓,
2019-02-26,09:50:39,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0070,1,70.00,非备兑,219671,卖出开仓,
2019-02-26,09:51:09,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0070,29,2030.00,非备兑,222638,卖出开仓,
2019-02-26,09:59:50,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0718,30,21540.00,非备兑,274714,卖出开仓,
2019-02-26,10:00:18,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0718,30,21550.00,非备兑,277824,卖出开仓,
2019-02-26,10:04:07,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1466,10,14658.00,非备兑,300028,买入开仓,
2019-02-26,10:20:15,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1446,1,1446.00,非备兑,367163,买入开仓,
2019-02-26,10:23:22,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0074,30,2220.00,非备兑,379951,卖出开仓,
2019-02-26,10:23:23,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0074,30,2220.00,非备兑,379984,卖出开仓,
2019-02-26,10:25:52,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0800,19,15200.00,非备兑,394629,买入平仓,
2019-02-26,10:26:02,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0810,11,8909.00,非备兑,396020,买入平仓,
2019-02-26,10:26:11,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0811,30,24320.00,非备兑,398427,买入平仓,
2019-02-26,10:27:58,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0835,30,25050.00,非备兑,415860,买入平仓,
2019-02-26,10:27:59,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0835,30,25050.00,非备兑,416156,买入平仓,
2019-02-26,10:30:13,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1236,2,2472.00,非备兑,434611,买入开仓,
2019-02-26,10:37:15,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1085,7,7595.00,非备兑,468839,买入开仓,
2019-02-26,10:48:31,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0145,10,1450.00,非备兑,528940,卖出开仓,
2019-02-26,10:49:20,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1105,10,11050.00,非备兑,533241,买入开仓,
2019-02-26,10:50:10,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,20,640.00,非备兑,537410,买入平仓,
2019-02-26,10:50:13,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,10,320.00,非备兑,537700,买入平仓,
2019-02-26,10:50:18,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,20,630.00,非备兑,537993,买入平仓,
2019-02-26,10:50:26,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,20,640.00,非备兑,538581,买入平仓,
2019-02-26,10:50:35,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,20,640.00,非备兑,539395,买入平仓,
2019-02-26,10:50:39,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0032,20,650.00,非备兑,539765,买入平仓,
2019-02-26,10:50:39,上海股票期权,10001720,50ETF购2月2900,买入,平仓,0.0031,10,310.00,非备兑,539757,买入平仓,
2019-02-26,10:51:05,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0138,20,2760.00,非备兑,541283,卖出开仓,
2019-02-26,10:52:04,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0128,5,640.00,非备兑,544201,卖出开仓,
2019-02-26,10:52:50,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0118,21,2487.00,非备兑,547674,卖出开仓,
2019-02-26,11:05:35,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0075,1,75.00,非备兑,595784,卖出开仓,
2019-02-26,11:05:38,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0074,29,2137.00,非备兑,596016,卖出开仓,
2019-02-26,11:05:52,上海股票期权,10001700,50ETF沽2月2700,卖出,开仓,0.0071,26,1846.00,非备兑,597259,卖出开仓,
2019-02-26,11:12:03,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0055,25,1375.00,非备兑,618940,卖出开仓,
2019-02-26,11:12:07,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0052,5,260.00,非备兑,619188,卖出开仓,
2019-02-26,11:12:27,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0051,30,1530.00,非备兑,619986,卖出开仓,
2019-02-26,11:15:10,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0047,30,1410.00,非备兑,628356,卖出开仓,
2019-02-26,11:15:58,上海股票期权,10001719,50ETF购2月2850,卖出,开仓,0.0046,30,1380.00,非备兑,632086,卖出开仓,
2019-02-26,11:16:47,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1088,10,10880.00,非备兑,634354,买入开仓,
2019-02-26,13:04:11,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.00,非备兑,689087,买入平仓,
2019-02-26,13:04:20,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.00,非备兑,689743,买入平仓,
2019-02-26,13:04:29,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.00,非备兑,690382,买入平仓,
2019-02-26,13:04:53,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.00,非备兑,691312,买入平仓,
2019-02-26,13:05:27,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,20,100.00,非备兑,693200,买入平仓,
2019-02-26,13:05:45,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,1,4.00,非备兑,694030,买入平仓,
2019-02-26,13:05:45,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,694029,买入平仓,
2019-02-26,13:06:15,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,29,145.00,非备兑,695847,买入平仓,
2019-02-26,13:06:39,上海股票期权,10001674,50ETF沽2月2550,买入,平仓,0.0005,30,150.00,非备兑,696652,买入平仓,
2019-02-26,13:07:34,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,700000,买入平仓,
2019-02-26,13:08:45,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0080,21,1670.00,非备兑,702589,买入平仓,
2019-02-26,13:09:03,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0078,30,2351.00,非备兑,703245,买入平仓,
2019-02-26,13:09:04,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,703279,买入平仓,
2019-02-26,13:09:04,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,15,60.00,非备兑,703260,买入平仓,
2019-02-26,13:09:04,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,703264,买入平仓,
2019-02-26,13:09:04,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0079,5,395.00,非备兑,703281,买入平仓,
2019-02-26,13:09:05,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,703313,买入平仓,
2019-02-26,13:12:08,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,30,120.00,非备兑,712846,买入平仓,
2019-02-26,13:14:53,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0004,24,96.00,非备兑,721372,买入平仓,
2019-02-26,13:19:01,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0674,15,10105.00,非备兑,737546,卖出开仓,
2019-02-26,13:19:05,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0670,15,10050.00,非备兑,737948,卖出开仓,
2019-02-26,13:19:20,上海股票期权,10001620,50ETF沽3月2700,卖出,开仓,0.0668,30,20040.00,非备兑,739435,卖出开仓,
2019-02-26,13:29:27,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1191,10,11910.00,非备兑,783880,买入开仓,
2019-02-26,13:29:56,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,30,150.00,非备兑,786209,买入平仓,
2019-02-26,13:30:24,上海股票期权,10001664,50ETF沽2月2500,买入,平仓,0.0005,6,30.00,非备兑,788875,买入平仓,
2019-02-26,13:36:31,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0767,12,9204.00,非备兑,805694,卖出开仓,
2019-02-26,13:36:34,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0766,17,13022.00,非备兑,805847,卖出开仓,
2019-02-26,13:36:38,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0761,1,761.00,非备兑,806141,卖出开仓,
2019-02-26,13:36:59,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0757,8,6055.00,非备兑,808145,卖出开仓,
2019-02-26,13:37:04,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0752,2,1504.00,非备兑,808536,卖出开仓,
2019-02-26,13:41:05,上海股票期权,10001727,50ETF购3月2850,卖出,开仓,0.0713,30,21390.00,非备兑,822653,卖出开仓,
2019-02-26,13:47:23,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1128,1,1128.00,非备兑,842644,买入开仓,
2019-02-26,13:47:25,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.1130,9,10174.00,非备兑,842684,买入开仓,
2019-02-26,14:01:40,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0021,30,630.00,非备兑,897149,卖出开仓,
2019-02-26,14:02:37,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0020,30,600.00,非备兑,900177,卖出开仓,
2019-02-26,14:02:52,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0021,10,210.00,非备兑,901077,卖出开仓,
2019-02-26,14:03:04,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0018,30,540.00,非备兑,901441,卖出开仓,
2019-02-26,14:03:49,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0019,30,570.00,非备兑,903714,卖出开仓,
2019-02-26,14:04:14,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0018,30,540.00,非备兑,905058,卖出开仓,
2019-02-26,14:04:33,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0019,30,570.00,非备兑,906647,卖出开仓,
2019-02-26,14:05:58,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0019,30,570.00,非备兑,911669,卖出开仓,
2019-02-26,14:06:31,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0018,20,360.00,非备兑,913495,卖出开仓,
2019-02-26,14:08:06,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0020,30,600.00,非备兑,919701,卖出开仓,
2019-02-26,14:09:57,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0020,14,280.00,非备兑,925234,卖出开仓,
2019-02-26,14:10:07,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0019,16,299.00,非备兑,925478,卖出开仓,
2019-02-26,14:11:44,上海股票期权,10001720,50ETF购2月2900,卖出,开仓,0.0018,6,108.00,非备兑,930397,卖出开仓,
2019-02-26,14:16:11,上海股票期权,10001696,50ETF沽2月2650,卖出,开仓,0.0017,30,510.00,非备兑,939138,卖出开仓,
2019-02-26,14:32:20,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.0978,10,9780.00,非备兑,1000474,买入开仓,
2019-02-26,14:33:30,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.0951,10,9510.00,非备兑,1008259,买入开仓,
2019-02-26,14:35:13,上海股票期权,10001711,50ETF购2月2800,卖出,开仓,0.0040,10,400.00,非备兑,1018036,卖出开仓,
2019-02-26,14:36:16,上海股票期权,10001711,50ETF购2月2800,卖出,开仓,0.0037,10,370.00,非备兑,1023978,卖出开仓,
2019-02-26,14:36:37,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.0939,10,9390.00,非备兑,1026450,买入开仓,
2019-02-26,14:40:04,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0083,30,2482.00,非备兑,1041881,买入平仓,
2019-02-26,14:40:04,上海股票期权,10001700,50ETF沽2月2700,买入,平仓,0.0083,26,2158.00,非备兑,1041883,买入平仓,
2019-02-26,14:48:35,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0793,30,23780.00,非备兑,1074981,买入平仓,
2019-02-26,14:48:35,上海股票期权,10001620,50ETF沽3月2700,买入,平仓,0.0793,30,23793.00,非备兑,1074886,买入平仓,
2019-02-26,14:50:54,上海股票期权,10001596,50ETF沽3月2650,卖出,开仓,0.0575,30,17240.00,非备兑,1087799,卖出开仓,
2019-02-26,14:52:17,上海股票期权,10001596,50ETF沽3月2650,卖出,开仓,0.0575,30,17250.00,非备兑,1093849,卖出开仓,
2019-02-26,14:53:22,上海股票期权,10001705,50ETF购3月2750,买入,开仓,0.0855,10,8550.00,非备兑,1099604,买入开仓,
